issue_id,severity,Round-2 concern,V2 location,planned V2.1 correction,evidence source,new experiment required,science changed,final location,status
R2-01,MAJOR,"Introduction, Results and Discussion were underdeveloped",V2 frozen manuscript/supplement,"Expanded with evidence-specific literature, results and limitations",frozen authorities and official journal guidance,NO,NO,V2.1 manuscript/supplement/audits,RESOLVED
R2-02,MAJOR,matched-information terminology overstated comparator equivalence,V2 frozen manuscript/supplement,Replaced with retrospective target-access comparators and explicit non-equivalence,frozen authorities and official journal guidance,NO,NO,V2.1 manuscript/supplement/audits,RESOLVED
R2-03,MAJOR,answer conditioning required fuller interpretation,V2 frozen manuscript/supplement,Expanded two Discussion paragraphs without claiming target access was controlled away,frozen authorities and official journal guidance,NO,NO,V2.1 manuscript/supplement/audits,RESOLVED
R2-04,MAJOR,development evidence and metric systems were compressed,V2 frozen manuscript/supplement,"Separated Dice@0.5, probability metrics and oracle-assisted top-k results",frozen authorities and official journal guidance,NO,NO,V2.1 manuscript/supplement/audits,RESOLVED
R2-05,MAJOR,internal and RHUH confirmatory results lacked full effects,V2 frozen manuscript/supplement,"Added frozen differences, medians, W/T/L, CIs, P, Holm and effects",frozen authorities and official journal guidance,NO,NO,V2.1 manuscript/supplement/audits,RESOLVED
R2-06,MAJOR,external transfer and correction were insufficiently separated,V2 frozen manuscript/supplement,Expanded physically isolated Stage A and retrospective Stage B results,frozen authorities and official journal guidance,NO,NO,V2.1 manuscript/supplement/audits,RESOLVED
R2-07,MAJOR,Table 3 crossed pages and orphaned text,V2 frozen manuscript/supplement,Reduced to seven columns in a dedicated one-page landscape section,frozen authorities and official journal guidance,NO,NO,V2.1 manuscript/supplement/audits,RESOLVED
R2-08,MAJOR,Figure 1 had an unstable target glyph,V2 frozen manuscript/supplement,Rebuilt with ASCII 'AND NOT' logic,frozen authorities and official journal guidance,NO,NO,V2.1 manuscript/supplement/audits,RESOLVED
R2-09,MAJOR,PCC equation was not an editable Word equation,V2 frozen manuscript/supplement,Inserted editable OMML equation (1),frozen authorities and official journal guidance,NO,NO,V2.1 manuscript/supplement/audits,RESOLVED
R2-10,MAJOR,Supplement landscape flags did not swap page dimensions,V2 frozen manuscript/supplement,Rebuilt every Supplement table section at 11 x 8.5 inches,frozen authorities and official journal guidance,NO,NO,V2.1 manuscript/supplement/audits,RESOLVED
R2-11,MAJOR,Supplement DOCX/PDF were not reliably same-source,V2 frozen manuscript/supplement,Generated PDF by parsing the final authoritative DOCX,frozen authorities and official journal guidance,NO,NO,V2.1 manuscript/supplement/audits,RESOLVED
R2-12,MAJOR,Supplement was repository-like,V2 frozen manuscript/supplement,"Moved full linkage, hashes and audits to REPRODUCIBILITY_ARCHIVE",frozen authorities and official journal guidance,NO,NO,V2.1 manuscript/supplement/audits,RESOLVED
R2-13,MAJOR,metadata writer lost RHUH-specific columns,V2 frozen manuscript/supplement,Used stable union columns and regenerated 192-row linkage,frozen authorities and official journal guidance,NO,NO,V2.1 manuscript/supplement/audits,RESOLVED
R2-14,MAJOR,Table 1 cells needed deterministic metadata tracing,V2 frozen manuscript/supplement,Regenerated from linkage and audited every numeric cell,frozen authorities and official journal guidance,NO,NO,V2.1 manuscript/supplement/audits,RESOLVED
R2-15,MODERATE,sex terminology differed across sources,V2 frozen manuscript/supplement,"Used Sex, female/male with source-terminology footnote",frozen authorities and official journal guidance,NO,NO,V2.1 manuscript/supplement/audits,RESOLVED
R2-16,MODERATE,cover letter lacked submission placeholders,V2 frozen manuscript/supplement,"Added contact, reviewer, exclusion and prior-discussion placeholders",frozen authorities and official journal guidance,NO,NO,V2.1 manuscript/supplement/audits,RESOLVED
R2-17,MAJOR,release validation depended on an absolute path,V2 frozen manuscript/supplement,Added package-relative --root validator and temporary-unpack test,frozen authorities and official journal guidance,NO,NO,V2.1 manuscript/supplement/audits,RESOLVED
R2-18,MODERATE,compliance and reporting audits required refresh,V2 frozen manuscript/supplement,"Rechecked current official requirements, references, CLAIM, numbers and rendering",frozen authorities and official journal guidance,NO,NO,V2.1 manuscript/supplement/audits,RESOLVED
