section,paragraph,purpose,source/evidence,why necessary,word contribution
Introduction,1,"literature context, task separation, metric rationale and evidence hierarchy",verified literature or frozen scientific authorities,addresses a Round-2 concern or reports underrepresented frozen evidence,157
Introduction,2,"literature context, task separation, metric rationale and evidence hierarchy",verified literature or frozen scientific authorities,addresses a Round-2 concern or reports underrepresented frozen evidence,139
Introduction,3,"literature context, task separation, metric rationale and evidence hierarchy",verified literature or frozen scientific authorities,addresses a Round-2 concern or reports underrepresented frozen evidence,109
Introduction,4,"literature context, task separation, metric rationale and evidence hierarchy",verified literature or frozen scientific authorities,addresses a Round-2 concern or reports underrepresented frozen evidence,127
Introduction,5,"literature context, task separation, metric rationale and evidence hierarchy",verified literature or frozen scientific authorities,addresses a Round-2 concern or reports underrepresented frozen evidence,102
Introduction,6,"literature context, task separation, metric rationale and evidence hierarchy",verified literature or frozen scientific authorities,addresses a Round-2 concern or reports underrepresented frozen evidence,119
Results,1,"restore frozen evidence, negative controls and internal-to-external replication",verified literature or frozen scientific authorities,addresses a Round-2 concern or reports underrepresented frozen evidence,233
Results,2,"restore frozen evidence, negative controls and internal-to-external replication",verified literature or frozen scientific authorities,addresses a Round-2 concern or reports underrepresented frozen evidence,300
Results,3,"restore frozen evidence, negative controls and internal-to-external replication",verified literature or frozen scientific authorities,addresses a Round-2 concern or reports underrepresented frozen evidence,210
Results,4,"restore frozen evidence, negative controls and internal-to-external replication",verified literature or frozen scientific authorities,addresses a Round-2 concern or reports underrepresented frozen evidence,165
Results,5,"restore frozen evidence, negative controls and internal-to-external replication",verified literature or frozen scientific authorities,addresses a Round-2 concern or reports underrepresented frozen evidence,108
Results,6,"restore frozen evidence, negative controls and internal-to-external replication",verified literature or frozen scientific authorities,addresses a Round-2 concern or reports underrepresented frozen evidence,159
Results,7,"restore frozen evidence, negative controls and internal-to-external replication",verified literature or frozen scientific authorities,addresses a Round-2 concern or reports underrepresented frozen evidence,174
Discussion,1,"answer conditioning, comparator limits, domain shift, chronology and transparent limitations",verified literature or frozen scientific authorities,addresses a Round-2 concern or reports underrepresented frozen evidence,124
Discussion,2,"answer conditioning, comparator limits, domain shift, chronology and transparent limitations",verified literature or frozen scientific authorities,addresses a Round-2 concern or reports underrepresented frozen evidence,112
Discussion,3,"answer conditioning, comparator limits, domain shift, chronology and transparent limitations",verified literature or frozen scientific authorities,addresses a Round-2 concern or reports underrepresented frozen evidence,105
Discussion,4,"answer conditioning, comparator limits, domain shift, chronology and transparent limitations",verified literature or frozen scientific authorities,addresses a Round-2 concern or reports underrepresented frozen evidence,128
Discussion,5,"answer conditioning, comparator limits, domain shift, chronology and transparent limitations",verified literature or frozen scientific authorities,addresses a Round-2 concern or reports underrepresented frozen evidence,125
Discussion,6,"answer conditioning, comparator limits, domain shift, chronology and transparent limitations",verified literature or frozen scientific authorities,addresses a Round-2 concern or reports underrepresented frozen evidence,129
Discussion,7,"answer conditioning, comparator limits, domain shift, chronology and transparent limitations",verified literature or frozen scientific authorities,addresses a Round-2 concern or reports underrepresented frozen evidence,118
Discussion,8,"answer conditioning, comparator limits, domain shift, chronology and transparent limitations",verified literature or frozen scientific authorities,addresses a Round-2 concern or reports underrepresented frozen evidence,132
Discussion,9,"answer conditioning, comparator limits, domain shift, chronology and transparent limitations",verified literature or frozen scientific authorities,addresses a Round-2 concern or reports underrepresented frozen evidence,194
Discussion,10,"answer conditioning, comparator limits, domain shift, chronology and transparent limitations",verified literature or frozen scientific authorities,addresses a Round-2 concern or reports underrepresented frozen evidence,86
