issue_id,severity,reviewer_concern,current_problematic_manuscript_text,authoritative_evidence,required_correction,manuscript_sections_affected,figure_table_affected,new_experiment_required,scientific_result_changed,status,exact_V2_location
MAJOR-01,MAJOR,PCC outside-support probability was incorrectly described as preserved.,Outside-support probability O_r=P_r(1-R) was preserved.,src/models/pcc.py; locked method definitions,Replace prose and provide the complete logit update; audit all preserve/outside-support wording.,Introduction; Methods; Discussion,Figure 1,NO,NO,RESOLVED_IN_V2,"Introduction paragraph 3; Methods, Prediction-Comparison-Correction; PCC_ALGORITHM_TEXT_IDENTITY_AUDIT.md"
MAJOR-02,MAJOR,V1 expanded PCC as probability correction and calibration.,probability correction and calibration (PCC),historical protocol terminology and project authority,Restore Prediction-Comparison-Correction and define Prediction as the supplied P0.,Abstract; Introduction; Methods,Figure 1,NO,NO,RESOLVED_IN_V2,"Abstract; Introduction paragraph 3; Methods, Prediction-Comparison-Correction; PCC_TERMINOLOGY_AUDIT.md"
MAJOR-03,MAJOR,P0 generation pathways were incorrectly unified across cohorts.,P0 was the arithmetic mean of five maps for all cohorts.,fold manifest; Stage A checkpoint/runtime manifests,Report development held-out single-fold inference separately from five-checkpoint holdout/external ensembles.,Methods; Results,Figure 1,NO,NO,RESOLVED_IN_V2,"Results, Development analyses and Independent internal confirmation; Methods, Predictor inputs, training labels and cohort-specific P0 generation; Figure 1; P0_GENERATION_BY_COHORT_AUDIT.md"
MAJOR-04,MAJOR,Future-blind wording did not adequately disclose current-mask input.,future-blind initial probability map from current MRI and masks,current-only preprocessing and runtime manifests,Define future-blind relative to evaluated-case future data and disclose two-channel input and deployment limitation.,Abstract; Introduction; Methods; Discussion,Figure 1,NO,NO,RESOLVED_IN_V2,"Abstract; Introduction paragraph 3; Methods, Predictor inputs; Discussion paragraphs 1–2 and Limitations; Figure 1"
MAJOR-05,MAJOR,Training-label text could be misconstrued as test-case future leakage.,Training slices contained current tumour or future change.,src/pipelines/leakage_free_p0.py,Describe training-patient future-added labels and evaluated-patient isolation explicitly.,Methods; Discussion,Figure 1,NO,NO,RESOLVED_IN_V2,"Methods, Predictor inputs, training labels and cohort-specific P0 generation; Figure 1 legend; P0_GENERATION_BY_COHORT_AUDIT.md"
MAJOR-06,MAJOR,Target wording overreached beyond a one-sided composite segmentation target.,future tumour change / tumour mask,target construction code and dataset label authority,"Use one-sided, segmentation-derived future-added composite foreground terminology and audit biological wording.",Entire manuscript,All figures/tables,NO,NO,RESOLVED_IN_V2,"Title; Abstract; Results, Cohorts, segmentation target and future-access boundary; Methods, Foreground definitions and one-sided target; Discussion, Limitations; TARGET_SEMANTICS_LANGUAGE_AUDIT.csv"
MAJOR-07,MAJOR,Matched-information comparators were not adequately visible in the main manuscript.,"Main figures showed only Fixed, Full PCC and no-smoothing.",locked 113 and RHUH case-method CSVs,Add descriptive Table 3 and balanced answer-conditioning interpretation without new P values.,Results; Discussion; Methods,Table 3,NO,NO,RESOLVED_IN_V2,"Results, Matched-information controls contextualized target access; Discussion paragraph 3; Table 3"
MAJOR-08,MAJOR,Naive and EIA comparator definitions were insufficient for reproduction.,used their frozen implementations,src/models/naive_self_tightening.py; src/models/eia.py,"Provide formulas, parameters, information access and code hashes.",Methods; Supplement,Table 3,NO,NO,RESOLVED_IN_V2,"Methods, Comparator methods; LOCKED_COMPARATOR_METHOD_DEFINITIONS.md; LOCKED_COMPARATOR_CODE_HASHES.csv"
MAJOR-09,MAJOR,Table 1 lacked clinical cohort characteristics.,Evidence levels and cohort flow only.,official MU and RHUH clinical metadata linked to locked IDs,"Add age, sex, diagnosis, grade, interval and RHUH variables with explicit missingness and no significance tests.",Results; Methods,Table 1,NO,NO,RESOLVED_IN_V2,"Results, Cohorts, segmentation target and future-access boundary; Methods, Study design and datasets; Table 1; Table S2"
MODERATE-01,IMPORTANT MODERATE,Discussion called Wilcoxon P values exact without implementation support.,Exact P values demonstrate...,src/analysis/holdout_statistics.py; Stage B runner,Remove exact wording; report scipy.stats.wilcoxon defaults plus explicit zero_method and alternative.,Methods; Discussion,Table 2,NO,NO,RESOLVED_IN_V2,"Methods, Outcomes and statistics; Table 2; STATISTICAL_IMPLEMENTATION_REPORTING_AUDIT.md"
MODERATE-02,IMPORTANT MODERATE,Direct future-blind postoperative recurrence-localization prior art was missing.,No direct Cepeda recurrence-localization comparison.,"Cepeda et al., Cancers 2023; DOI/PMID verified",Add accurate contrast between future-blind prediction and retrospective target-conditioned refinement.,Introduction; Discussion,None,NO,NO,RESOLVED_IN_V2,Introduction paragraph 2; Discussion paragraph 7; Reference 16
MODERATE-03,IMPORTANT MODERATE,Development target-volume-matched metrics could be mistaken for Dice@0.5.,Development mean Dice without metric qualifier.,development metric authorities,Label every development top-k result as oracle-assisted target-volume-matched localization.,Results; Supplement,Figure 5,NO,NO,RESOLVED_IN_V2,"Results, Development analyses characterized update behaviour; Figure 5 and legend; Tables S5–S7"
MODERATE-04,IMPORTANT MODERATE,Supplement numbering and wide-table layout were inconsistent.,S4-S6 prose without distinct objects; compressed tables.,V1 supplement,"Rebuild registry, cross-references, landscape tables and readable typography.",Supplement,Supplement tables,NO,NO,RESOLVED_IN_V2,Supplementary Information Tables S1–S10; SUPPLEMENT_TABLE_FIGURE_REGISTRY.csv; SUPPLEMENT_CROSS_REFERENCE_AUDIT.csv
MODERATE-05,IMPORTANT MODERATE,Title and high-level claims could imply biological progression forecasting.,glioma change maps,target semantics authority,Use segmentation-change terminology and scan prediction/forecast/clinical claims.,Title; Abstract; Conclusion,Figure 1,NO,NO,RESOLVED_IN_V2,Title; Abstract; Introduction; Discussion; TARGET_SEMANTICS_LANGUAGE_AUDIT.csv
