case_id,condition,repeat,full_guidance_voxels,no_smoothing_guidance_voxels,full_shift_direction,no_smoothing_shift_direction,full_seed,no_smoothing_seed,guidance_voxel_match,shift_direction_match,seed_match
PatientID_0003_T1_to_T2_t1c,SHIFT_3,+x,24613,24613,+x,+x,,,True,True,True
PatientID_0003_T1_to_T2_t1c,SHIFT_3,+y,24613,24613,+y,+y,,,True,True,True
PatientID_0003_T1_to_T2_t1c,SHIFT_3,+z,24613,24613,+z,+z,,,True,True,True
PatientID_0003_T1_to_T2_t1c,SHIFT_3,-x,24613,24613,-x,-x,,,True,True,True
PatientID_0003_T1_to_T2_t1c,SHIFT_3,-y,24613,24613,-y,-y,,,True,True,True
PatientID_0003_T1_to_T2_t1c,SHIFT_3,-z,24613,24613,-z,-z,,,True,True,True
PatientID_0005_T3_to_T4_t1c,SHIFT_3,+x,18835,18835,+x,+x,,,True,True,True
PatientID_0005_T3_to_T4_t1c,SHIFT_3,+y,18835,18835,+y,+y,,,True,True,True
PatientID_0005_T3_to_T4_t1c,SHIFT_3,+z,18835,18835,+z,+z,,,True,True,True
PatientID_0005_T3_to_T4_t1c,SHIFT_3,-x,18835,18835,-x,-x,,,True,True,True
PatientID_0005_T3_to_T4_t1c,SHIFT_3,-y,18835,18835,-y,-y,,,True,True,True
PatientID_0005_T3_to_T4_t1c,SHIFT_3,-z,18835,18835,-z,-z,,,True,True,True
PatientID_0006_T2_to_T4_t1c,SHIFT_3,+x,24684,24684,+x,+x,,,True,True,True
PatientID_0006_T2_to_T4_t1c,SHIFT_3,+y,24684,24684,+y,+y,,,True,True,True
PatientID_0006_T2_to_T4_t1c,SHIFT_3,+z,24684,24684,+z,+z,,,True,True,True
PatientID_0006_T2_to_T4_t1c,SHIFT_3,-x,24684,24684,-x,-x,,,True,True,True
PatientID_0006_T2_to_T4_t1c,SHIFT_3,-y,24684,24684,-y,-y,,,True,True,True
PatientID_0006_T2_to_T4_t1c,SHIFT_3,-z,24684,24684,-z,-z,,,True,True,True
PatientID_0007_T2_to_T3_t1c,SHIFT_3,+x,8157,8157,+x,+x,,,True,True,True
PatientID_0007_T2_to_T3_t1c,SHIFT_3,+y,8157,8157,+y,+y,,,True,True,True
PatientID_0007_T2_to_T3_t1c,SHIFT_3,+z,8157,8157,+z,+z,,,True,True,True
PatientID_0007_T2_to_T3_t1c,SHIFT_3,-x,8157,8157,-x,-x,,,True,True,True
PatientID_0007_T2_to_T3_t1c,SHIFT_3,-y,8157,8157,-y,-y,,,True,True,True
PatientID_0007_T2_to_T3_t1c,SHIFT_3,-z,8157,8157,-z,-z,,,True,True,True
PatientID_0008_T4_to_T6_t1c,SHIFT_3,+x,4335,4335,+x,+x,,,True,True,True
PatientID_0008_T4_to_T6_t1c,SHIFT_3,+y,4335,4335,+y,+y,,,True,True,True
PatientID_0008_T4_to_T6_t1c,SHIFT_3,+z,4335,4335,+z,+z,,,True,True,True
PatientID_0008_T4_to_T6_t1c,SHIFT_3,-x,4335,4335,-x,-x,,,True,True,True
PatientID_0008_T4_to_T6_t1c,SHIFT_3,-y,4335,4335,-y,-y,,,True,True,True
PatientID_0008_T4_to_T6_t1c,SHIFT_3,-z,4335,4335,-z,-z,,,True,True,True
PatientID_0010_T1_to_T4_t1c,SHIFT_3,+x,34047,34047,+x,+x,,,True,True,True
PatientID_0010_T1_to_T4_t1c,SHIFT_3,+y,34047,34047,+y,+y,,,True,True,True
PatientID_0010_T1_to_T4_t1c,SHIFT_3,+z,34047,34047,+z,+z,,,True,True,True
PatientID_0010_T1_to_T4_t1c,SHIFT_3,-x,34047,34047,-x,-x,,,True,True,True
PatientID_0010_T1_to_T4_t1c,SHIFT_3,-y,34047,34047,-y,-y,,,True,True,True
PatientID_0010_T1_to_T4_t1c,SHIFT_3,-z,34047,34047,-z,-z,,,True,True,True
PatientID_0011_T1_to_T2_t1c,SHIFT_3,+x,62041,62041,+x,+x,,,True,True,True
PatientID_0011_T1_to_T2_t1c,SHIFT_3,+y,62041,62041,+y,+y,,,True,True,True
PatientID_0011_T1_to_T2_t1c,SHIFT_3,+z,62041,62041,+z,+z,,,True,True,True
PatientID_0011_T1_to_T2_t1c,SHIFT_3,-x,62041,62041,-x,-x,,,True,True,True
PatientID_0011_T1_to_T2_t1c,SHIFT_3,-y,62041,62041,-y,-y,,,True,True,True
PatientID_0011_T1_to_T2_t1c,SHIFT_3,-z,62041,62041,-z,-z,,,True,True,True
PatientID_0012_T2_to_T3_t1c,SHIFT_3,+x,57434,57434,+x,+x,,,True,True,True
PatientID_0012_T2_to_T3_t1c,SHIFT_3,+y,57434,57434,+y,+y,,,True,True,True
PatientID_0012_T2_to_T3_t1c,SHIFT_3,+z,57434,57434,+z,+z,,,True,True,True
PatientID_0012_T2_to_T3_t1c,SHIFT_3,-x,57434,57434,-x,-x,,,True,True,True
PatientID_0012_T2_to_T3_t1c,SHIFT_3,-y,57434,57434,-y,-y,,,True,True,True
PatientID_0012_T2_to_T3_t1c,SHIFT_3,-z,57434,57434,-z,-z,,,True,True,True
PatientID_0013_T1_to_T2_t1c,SHIFT_3,+x,21951,21951,+x,+x,,,True,True,True
PatientID_0013_T1_to_T2_t1c,SHIFT_3,+y,21951,21951,+y,+y,,,True,True,True
