item_number,item_title,actually_exists,first_page,referred_from_main_manuscript,referred_from_supplement_prose,source_authority,row_count,status
Table S1,Authority and frozen V1 provenance,true,2,no,yes,manuscript_finalization/INDEPENDENT_AUDIT_MAJOR_REVISION_V2/00_EXTERNAL_AUDIT_RESPONSE/V1_FROZEN_BASELINE/V1_FROZEN_MANUSCRIPT_FILE_HASHES.csv,52,PASS
Table S2,Extended locked-cohort clinical metadata,true,5,yes,yes,manuscript_finalization/INDEPENDENT_AUDIT_MAJOR_REVISION_V2/COHORT_METADATA/LOCKED_COHORT_CLINICAL_METADATA_LINKAGE.csv,192,PASS
Table S3,Internal secondary metrics,true,21,yes,yes,outputs/pcc_113_stage_b_final_audit_patch_v2_2026/01_SECONDARY_SUMMARY_PATCH/STAGE_B_SECONDARY_DESCRIPTIVE_SUMMARY_V2.csv,64,PASS
Table S4,RHUH secondary metrics,true,26,yes,yes,outputs/pcc_rhuh_external_stage_b_confirmatory_validation_2026/07_SECONDARY_AND_TOPK/RHUH_STAGE_B_SECONDARY_SUMMARY.csv,63,PASS
Table S5,Development mechanism and method summaries,true,31,no,yes,outputs/pcc_internal_completion_2026/12_publication_tables/INTERNAL_COMPLETION_METHOD_SUMMARY.csv,88,PASS
Table S6,Imperfect-guidance robustness,true,38,no,yes,manuscript_finalization/INDEPENDENT_AUDIT_MAJOR_REVISION_V2/03_SUPPLEMENT_REBUILD/Supplementary_Table_S6_Imperfect_Guidance_Summary.csv,18,PASS
Table S7,No-smoothing robustness,true,39,no,yes,outputs/pcc_internal_validity_patch_2026/03_no_smoothing_robustness/NO_SMOOTHING_ROBUSTNESS_SUMMARY.csv,96,PASS
Table S8,Internal oracle-assisted controls,true,46,yes,yes,outputs/pcc_113_stage_b_final_audit_patch_v2_2026/V1_SNAPSHOT/04_STATISTICS/ORACLE_ASSISTED_TOPK_SUMMARY.csv,16,PASS
Table S9,RHUH oracle-assisted controls,true,48,yes,yes,outputs/pcc_rhuh_external_stage_b_confirmatory_validation_2026/07_SECONDARY_AND_TOPK/RHUH_STAGE_B_ORACLE_ASSISTED_TOPK_SUMMARY.csv,14,PASS
Table S10,Failure accounting,true,51,no,yes,manuscript_finalization/INDEPENDENT_AUDIT_MAJOR_REVISION_V2/03_SUPPLEMENT_REBUILD/Supplementary_Table_S10_Failure_Accounting.csv,3,PASS
