domain,status,location,rationale
Title,YES,Methods/Results/Supplement,Applicable to future-blind P0 component; PCC Stage B is retrospective target-conditioned
Abstract,YES,Methods/Results/Supplement,Applicable to future-blind P0 component; PCC Stage B is retrospective target-conditioned
Background,YES,Methods/Results/Supplement,Applicable to future-blind P0 component; PCC Stage B is retrospective target-conditioned
Objectives,YES,Methods/Results/Supplement,Applicable to future-blind P0 component; PCC Stage B is retrospective target-conditioned
Data source,YES,Methods/Results/Supplement,Applicable to future-blind P0 component; PCC Stage B is retrospective target-conditioned
Participants,YES,Methods/Results/Supplement,Applicable to future-blind P0 component; PCC Stage B is retrospective target-conditioned
Outcome,YES,Methods/Results/Supplement,Applicable to future-blind P0 component; PCC Stage B is retrospective target-conditioned
Predictors,YES,Methods/Results/Supplement,Applicable to future-blind P0 component; PCC Stage B is retrospective target-conditioned
Sample size,YES,Methods/Results/Supplement,Applicable to future-blind P0 component; PCC Stage B is retrospective target-conditioned
Missing data,YES,Methods/Results/Supplement,Applicable to future-blind P0 component; PCC Stage B is retrospective target-conditioned
Model specification,YES,Methods/Results/Supplement,Applicable to future-blind P0 component; PCC Stage B is retrospective target-conditioned
Validation,YES,Methods/Results/Supplement,Applicable to future-blind P0 component; PCC Stage B is retrospective target-conditioned
Performance measures,YES,Methods/Results/Supplement,Applicable to future-blind P0 component; PCC Stage B is retrospective target-conditioned
Participant flow,YES,Methods/Results/Supplement,Applicable to future-blind P0 component; PCC Stage B is retrospective target-conditioned
Limitations,YES,Methods/Results/Supplement,Applicable to future-blind P0 component; PCC Stage B is retrospective target-conditioned
Interpretation,YES,Methods/Results/Supplement,Applicable to future-blind P0 component; PCC Stage B is retrospective target-conditioned
Registration,NA,Methods/Results/Supplement,Applicable to future-blind P0 component; PCC Stage B is retrospective target-conditioned
Public calculator,NA,Methods/Results/Supplement,Applicable to future-blind P0 component; PCC Stage B is retrospective target-conditioned
