component,formal_v1,formal_v1_1,evidence,interpretation
cohort,"40 locked cases","40 locked cases","archive cells 75 and 78; completion reports","same"
folds,"matched_5fold_splits_seed42.csv; 5 folds","matched_5fold_splits_seed42.csv; 5 folds","archive cells 75 and 78","same patient-level fold source"
input,"current T1c","current T1c","archive cells 73/75 and 77/78","same"
target,"current tumour mask","current tumour mask","archive cells 73/75 and 77/78","same"
baseline,"T1c -> current tumour mask","T1c -> current tumour mask","run summaries","same"
corrector,"T1c + baseline probability -> residual logit correction","T1c + baseline probability -> residual logit correction","archive cells 74/75 and 78","same"
epochs,"10 baseline + 10 corrector","15 baseline + 15 corrector","archive cell 75 lines BASELINE_EPOCHS/PCC_EPOCHS; cell 78 equivalents","prespecified protocol difference"
batch_size,64,64,"archive cells 74 and 78","same"
optimizer,"AdamW","AdamW","archive cells 74 and 78","same"
learning_rate,0.001,0.001,"archive cells 74 and 78","same"
weight_decay,0.00001,0.00001,"archive cells 74 and 78","same"
training_slices,"all available train slices (MAX_TRAIN_SLICES=999999)","all available train slices (MAX_TRAIN_SLICES=999999)","archive cells 75 and 78","same"
seed,42,42,"archive cells 74 and 78","same"
threshold,"train-calibrated grid 0.10 to 0.90 by 0.05; fixed 0.5 secondary","train-calibrated grid 0.10 to 0.90 by 0.05; fixed 0.5 secondary","archive cells 74 and 78","same; test masks do not select threshold"
checkpoint_selection,"final epoch; no test selection","final epoch; no test selection","archive cells 75 and 78","same"
test_leakage_safeguard,"held-out fold used only for evaluation","held-out fold used only for evaluation","locked fold manifest and archive loops","same"
reported_mean_dice,"baseline 0.4514067441557176; PCC 0.5147158406872926","baseline 0.4640802247754793; PCC 0.5234152321231338","new 2026 case-level result summaries","results do not determine protocol authority"
wins_ties_losses,35/0/5,29/0/11,"new 2026 summaries","negative cases retained"
