item,claim_2024_item,status,manuscript_location,action_required,notes,V2.1 action
1,AI methodology identified in title/abstract,YES,Title / Abstract,None,Audited against CLAIM 2024 official item,Retained and rechecked against expanded manuscript.
2,"Abstract summarizes design, methods, population, partitions, results and conclusions",YES,Title / Abstract,None,Audited against CLAIM 2024 official item,Retained and rechecked against expanded manuscript.
3,Scientific/clinical background and intended role,YES,Title / Abstract,None,Audited against CLAIM 2024 official item,Retained and rechecked against expanded manuscript.
4,"Study aims, objectives and hypotheses",YES,Methods / Supplementary Methods,None,Audited against CLAIM 2024 official item,Retained and rechecked against expanded manuscript.
5,Prospective or retrospective design,YES,Methods / Supplementary Methods,None,Audited against CLAIM 2024 official item,Retained and rechecked against expanded manuscript.
6,Study goal and intended use,YES,Methods / Supplementary Methods,None,Audited against CLAIM 2024 official item,Retained and rechecked against expanded manuscript.
7,Data sources and accessibility,YES,Methods / Supplementary Methods,None,Audited against CLAIM 2024 official item,Retained and rechecked against expanded manuscript.
8,Inclusion and exclusion criteria,YES,Methods / Supplementary Methods,None,Audited against CLAIM 2024 official item,Retained and rechecked against expanded manuscript.
9,Data preprocessing,YES,Methods / Supplementary Methods,None,Audited against CLAIM 2024 official item,Retained and rechecked against expanded manuscript.
10,Selection of data subsets,YES,Methods / Supplementary Methods,None,Audited against CLAIM 2024 official item,Retained and rechecked against expanded manuscript.
11,De-identification,YES,Methods / Supplementary Methods,None,Audited against CLAIM 2024 official item,Retained and rechecked against expanded manuscript.
12,Missing-data handling,YES,Methods; P0 pathway audit; Supplement,None,Audited against CLAIM 2024 official item,Table 1 and Supplementary Table S1 now derive from union-column linked metadata with missingness.
13,Image acquisition protocol,YES,Methods / Supplementary Methods,None,Audited against CLAIM 2024 official item,Retained and rechecked against expanded manuscript.
14,Reference-standard definition,YES,Methods / Supplementary Methods,None,Audited against CLAIM 2024 official item,Retained and rechecked against expanded manuscript.
15,Rationale and limitations of reference standard,YES,Methods / Supplementary Methods,None,Audited against CLAIM 2024 official item,Retained and rechecked against expanded manuscript.
16,Source and qualifications for annotations,YES,Methods / Supplementary Methods,None,Audited against CLAIM 2024 official item,Retained and rechecked against expanded manuscript.
17,Test-set annotation process,YES,Methods / Supplementary Methods,None,Audited against CLAIM 2024 official item,Retained and rechecked against expanded manuscript.
18,Inter- and intrarater variability,NA,Methods / Supplement,Not applicable; rationale documented,Audited against CLAIM 2024 official item,Retained and rechecked against expanded manuscript.
19,Assignment to data partitions,YES,Methods; P0 pathway audit; Supplement,None,Audited against CLAIM 2024 official item,Retained and rechecked against expanded manuscript.
20,Disjoint partition level,YES,Methods; P0 pathway audit; Supplement,None,Audited against CLAIM 2024 official item,Retained and rechecked against expanded manuscript.
21,Testing sample size and determination,YES,Methods / Supplementary Methods,None,Audited against CLAIM 2024 official item,Retained and rechecked against expanded manuscript.
