location,context,observed,expected,authority,tolerance,status
main manuscript,"e-added composite segmentation target in ten fixed logit-space updates. In 113 prelocked independent internal patients, mean Dice at threshold 0.5 was 0.",113,113,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"es. In 113 prelocked independent internal patients, mean Dice at threshold 0.5 was 0.239 for P0 and 0.444 for canonical PCC (paired difference 0.205, 95%",0.5,0.5,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"13 prelocked independent internal patients, mean Dice at threshold 0.5 was 0.239 for P0 and 0.444 for canonical PCC (paired difference 0.205, 95% bootstrap",0.239,0.239,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"pendent internal patients, mean Dice at threshold 0.5 was 0.239 for P0 and 0.444 for canonical PCC (paired difference 0.205, 95% bootstrap CI 0.191–0.218; ",0.444,0.444,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"eshold 0.5 was 0.239 for P0 and 0.444 for canonical PCC (paired difference 0.205, 95% bootstrap CI 0.191–0.218; Holm-adjusted P=5.61e-20). A no-smoothing c",0.205,0.205,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"0.5 was 0.239 for P0 and 0.444 for canonical PCC (paired difference 0.205, 95% bootstrap CI 0.191–0.218; Holm-adjusted P=5.61e-20). A no-smoothing candi",95,95,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript," P0 and 0.444 for canonical PCC (paired difference 0.205, 95% bootstrap CI 0.191–0.218; Holm-adjusted P=5.61e-20). A no-smoothing candidate identified duri",0.191,0.191,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"d 0.444 for canonical PCC (paired difference 0.205, 95% bootstrap CI 0.191–0.218; Holm-adjusted P=5.61e-20). A no-smoothing candidate identified during dev",0.218,0.218,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"CC (paired difference 0.205, 95% bootstrap CI 0.191–0.218; Holm-adjusted P=5.61e-20). A no-smoothing candidate identified during development and prelocked bef",5.61e-20,5.61e-20,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"te identified during development and prelocked before confirmation reached 0.637. In 39 RHUH patients, a physically isolated five-checkpoint P0 ensemble yi",0.637,0.637,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"ied during development and prelocked before confirmation reached 0.637. In 39 RHUH patients, a physically isolated five-checkpoint P0 ensemble yielded m",39,39,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"ients, a physically isolated five-checkpoint P0 ensemble yielded mean Dice 0.190; canonical PCC and prelocked no-smoothing reached 0.365 and 0.451. Descrip",0.190,0.190,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript, yielded mean Dice 0.190; canonical PCC and prelocked no-smoothing reached 0.365 and 0.451. Descriptive target-access comparators showed that target-derive,0.365,0.365,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,ean Dice 0.190; canonical PCC and prelocked no-smoothing reached 0.365 and 0.451. Descriptive target-access comparators showed that target-derived informat,0.451,0.451,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"ating every new imaging abnormality as equivalent evidence of progression [1,14]. Segmentation adds a spatial representation to that assessment, but a ",1,1,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"ing every new imaging abnormality as equivalent evidence of progression [1,14]. Segmentation adds a spatial representation to that assessment, but a dat",14,14,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"d, non-enhancing abnormality, necrosis or resection-cavity-related labels [2,3]. Our task is consequently described as localization of segmentation cha",2,2,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript," non-enhancing abnormality, necrosis or resection-cavity-related labels [2,3]. Our task is consequently described as localization of segmentation chang",3,3,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript, recurrence without supplying the evaluated recurrence label at inference [16]. That design addresses predictive information available before the future,16,16,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"ers and annotation practices, making frozen external evaluation important [5,6]. The present work includes a future-blind component with the same outco",5,5,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"s and annotation practices, making frozen external evaluation important [5,6]. The present work includes a future-blind component with the same outcome",6,6,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,ferent questions. Dice and intersection-over-union at a fixed threshold of 0.5 quantify binary localization under the predeclared decision rule. Soft Dic,0.5,0.5,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"tic error, and average precision summarizes ranking under class imbalance [10,11,15]. Target-volume-matched top-k overlap was used only as an oracle-ass",10,10,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
